,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,,,,,,,,,,,,,,,,
,T100,T50,GP,,,T100,T50,GP,,,T100,T50,GP,,RS,PLAYOFFS
,43,26,127,glaciers,,34,16,67,etan22,,68,42,185,glaciers,127,58
,35,16,125,nyc (giannis),,25,16,58,glaciers,,70,36,161,york (therealcadeyork),107,54
,51,30,118,dugz (shesterkin) (breadman),,22,10,54,york (therealcadeyork),,77,52,158,nylander (mrdawson),110,48
,40,22,116,thereturnofzlo,,26,17,52,cry,,75,57,156,chris (mystery) (krypticz) (phris),109,47
,50,31,113,max,,23,17,48,nylander (mrdawson),,75,45,155,etan22,88,67
,16,6,113,braden_,,27,19,48,kinnick,,70,45,155,max,113,42
,54,35,110,nylander (mrdawson),,20,17,47,chris (mystery),,64,43,155,cry (sillypup),103,52
,30,17,110,markjackson,,28,16,46,ice,,71,38,147,ice (exos),101,46
,55,40,109,chris (mystery) (krypticz) (phris),,21,16,43,supa,,67,50,145,supa (supa14),102,43
,48,26,107,york (therealcadeyork),,20,14,42,max,,40,20,143,nyc (giannis),125,18
,51,27,103,swouse,,16,12,41,anonymoususer,,63,33,142,dugz (shesterkin) (breadman),118,24
,38,26,103,cry (sillypup),,14,9,38,papamama (papacoop),,50,28,139,thereturnofzlo,116,23
,46,34,102,supa (supa14),,15,8,37,corsic,,38,21,138,markjackson,110,28
,43,22,101,ice (exos),,18,13,36,coded (strider),,77,45,137,kinnick,89,48
,30,15,100,doggy,,10,5,35,happy (birthday),,41,23,128,doggy,100,28
,36,22,97,salty,,24,10,35,canada (cavansbiggio),,18,8,125,braden_,113,12
,38,22,97,bohm,,10,6,33,burgerking (burger_king),,35,20,124,papamama (papacoop),86,38
,23,14,96,tur.ner (turner) (skitzo) (trea),,10,6,31,grounded,,48,22,122,burgerking,89,33
,24,11,92,dariusgarland (joshl0202) (dortch),,11,8,30,mario,,60,30,121,swouse,103,18
,28,17,92,chiszn (someone_3377) (cteszn),,8,2,29,bklyn (nyy) (griffey),,45,27,119,salty,97,22
,38,16,89,burgerking,,4,2,29,bshumer1,,28,17,117,tur.ner (turner) (skitzo) (trea),96,21
,19,6,89,bojack,,8,4,28,markjackson,,45,26,116,bohm,97,19
,23,17,89,tezzywezzy (jrueholiday) (jrue_) (tezmania),,11,8,28,doggy,,69,35,114,canada (cavansbiggio),79,35
,50,26,89,kinnick,,9,5,28,vj,,36,28,112,tezzywezzy (jrueholiday) (jrue_) (tezmania),89,23
,41,29,88,etan22,,11,9,27,jacman17,,45,24,112,mario,82,30
,45,28,87,znye,,17,13,27,zyx,,38,21,111,vj (leclerc),83,28
,21,11,86,papamama (papacoop),,11,8,27,ai,,56,35,110,bruins,85,25
,46,30,85,bruins,,12,9,27,tralogik,,30,14,108,dariusgarland (joshl0202) (dortch),92,16
,19,12,83,🥊(glovee),,9,8,26,ukator,,45,35,105,anonymoususer ,64,41
,29,16,83,vj (leclerc),,8,4,25,caleb_,,34,18,105,bobsburgers,82,23
,25,14,83,bigsnook,,10,5,25,bruins,,34,19,104,chiszn (someone_3377) (cteszn),92,12
,34,25,82,lehkyforselke,,14,12,25,psyklone,,32,14,103,happy (birthday) (ay),68,35
,29,15,82,bobsburgers,,12,3,24,dugz,,54,31,103,znye,87,16
,34,16,82,mario,,5,5,24,hardforbedard,,30,23,102,ukator,76,26
,21,15,80,vincent_ (vincent),,8,3,24,bam,,29,20,99,derrickwhitetop5,75,24
,45,25,79,canada (cavansbiggio),,4,2,24,derrickwhitetop5,,52,37,99,tralogik,72,27
,25,14,79,owencooks (rafaeldevers) (ovencooms) (ow3n1),,11,8,24,ryoshi,,27,16,98,addison (himmyjr) (sad),78,20
,21,12,78,addison (himmyjr) (sad),,12,7,24,zim,,26,15,98,bigsnook,83,15
,23,9,77,ryansc,,13,9,24,mrswaggymcswag0,,34,18,98,thelankygerman,76,22
,21,15,76,ukator,,13,11,23,tezzywezzy (jrueholiday) (tezmania),,38,27,97,lehkyforselke,82,15
,25,14,76,thelankygerman,,10,6,23,thereturnofzlo,,33,18,97,owencooks (rafaeldevers) (ovencooms) (ow3n1),79,18
,14,10,76,cinemax,,5,3,23,bobsburgers,,29,12,96,ryansc,77,19
,25,18,75,derrickwhitetop5,,5,2,23,luhsean56,,30,15,95,kevin (cars),74,21
,39,26,75,tw0 (tw0tennjxim3) (kyrieirving),,9,5,22,salty,,50,31,95,tw0 (tw0tennjxim3) (kyrieirving),75,20
,24,11,74,clase (bigthanos) (dean) (hvl),,6,3,22,wisco (ortiz) (turang) (doubs),,23,14,94,🥊(glovee),83,11
,19,11,74,zikcooks (zik),,6,5,22,614s_finest,,27,13,94,bklyn (weaver),65,29
,27,15,74,kevin (cars),,9,4,22,thelankygerman,,20,13,94,cinemax,76,18
,14,7,73,buctober2025 (buc),,7,5,22,flock.ravens,,22,10,92,wisco (doubs) (brewcrew) (turang) (eberle) (miz),70,22
,19,9,73,mccasual (christianmccasual),,8,3,22,iverson,,19,8,91,flock.ravens,69,22
,23,13,72,tjgany,,7,3,22,sebas (kyrielover_11),,23,13,91,hutchinson (platinumxi) (carpenters) (jahmyr),72,19
,16,8,72,hutchinson (platinumxi) (carpenters) (jahmyr),,6,4,22,jameswyo,,19,6,90,bojack,89,1
,40,28,72,tralogik,,3,0,21,kevin (cars),,37,27,90,ai,63,27
,19,12,71,hovey,,12,6,21,mordred (kay),,24,13,90,mccasual (christianmccasual),73,17
,16,11,71,marner (stack) (stack_) (aubrey) (loverboy),,6,4,21,giannisisdaddy1,,19,9,89,caleb_,64,25
,16,7,70,wisco (doubs) (brewcrew) (turang) (eberle) (miz),,5,3,21,turner (skitzo),,23,15,89,zikcooks (zik),74,15
,10,5,69,julius.chestnut,,10,7,21,davidv03,,26,15,88,tjgany,72,16
,12,3,69,flock.ravens,,6,4,20,addison (himmyjr) (sad),,20,12,87,marner (stack) (stack_) (aubrey) (loverboy),71,16
,15,8,68,poopybuttlover,,10,5,20,co,,25,15,87,grounded (paige) (groundground),56,31
,9,6,68,dex,,11,4,20,masdog2222,,28,12,86,clase (bigthanos) (dean) (hvl),74,12
,22,9,68,happy (birthday) (ay),,5,1,20,13allard (silver),,34,19,85,corsic,48,37
,8,3,68,grizzy,,11,5,20,tw0,,33,18,84,clementt (erndog),66,18
,27,13,68,devinbooker,,6,5,20,milroe (o3wn),,22,15,83,vincent_ (vincent),80,3
,23,13,67,cle (grifx),,12,8,20,otf,,43,28,82,iverson,60,22
,25,14,66,clementt (erndog),,6,3,19,ryansc,,16,11,81,hardforbedard,57,24
,23,12,66,baty,,8,6,19,turbo,,26,13,81,cle (grifx),67,14
,19,11,65,bklyn (weaver),,3,3,19,luv (csw) (dos),,18,10,80,turbo,61,19
,10,3,65,brady.richer,,10,7,19,wednesdaychicken,,28,18,80,ryoshi,56,24
,11,5,64,caleb_,,7,5,19,hutchinson (jahmyr) (platinumxi) (carpenters),,10,6,79,dex,68,11
,29,23,64,anonymoususer ,,7,4,19,bohm,,31,19,79,o3wn (milroe),59,20
,26,19,63,ai,,8,4,18,owencooks (realowen),,13,5,78,julius.chestnut,69,9
,25,16,63,ggs (ggramzy),,6,3,18,cinemax,,31,17,78,devinbooker,68,10
,17,14,62,brav0s (bravos) (ssuco),,5,4,18,nyc,,14,7,77,buctober2025 (buc),73,4
,26,15,62,cyl,,9,3,18,swouse,,17,14,75,brav0s (bravos) (ssuco),62,13
,11,7,61,be11o (bello),,8,4,18,clementt (erndog),,33,21,75,coded (strider),39,36
,10,4,61,turbo,,5,4,17,burgerkingjaylen,,27,15,75,ashton (hopkins) (addisonbarger_) (toronto) (destiny) (barnes) (chiles),58,17
,17,7,61,duke (skinny) (angrypup) (flocknation),,3,0,17,pat,,21,13,74,hovey,71,3
,17,8,61,knightnate12,,7,3,17,barger (cadewave) (hopkins) (destiny),,29,14,74,verse (reversethev),60,14
,25,15,61,lamb_,,2,0,17,gschmoney,,16,8,73,poopybuttlover,68,5
,25,8,61,aiden0220,,5,4,17,mccasual (christianmccasual),,29,12,73,zane,60,13
,23,8,60,zane,,7,3,17,corbin (tyus),,21,15,73,giannisisdaddy1,52,21
,15,10,60,nind0 (ted),,7,4,17,notkiddo (kiddo),,21,9,73,knightnate12,61,12
