#,PLAYER,AVERAGE,GEM,T100,T50,GP,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,
1,supa,59.5,15.70070101,10,10,13,3,22,8,3,22,253,,49,34,238,1,23,4,1,172,
2,devinbooker,64.86666667,45.96807216,11,7,14,73,55,98,4,32,186,22,13,125,59,34,32,41,90,109,
3,tw0,70.46666667,35.46716561,10,7,14,62,220,195,4,6,101,195,10,21,55,48,3,29,55,53,
4,ederick2442,74.8,56.35216262,10,5,14,45,182,10,72,121,94,100,129,24,18,85,69,109,16,48,
5,shenli,81.375,39.22641527,7,3,8,,,22,56,78,309,1,36,57,,92,,,,,
6,chittum,83.66666667,39.21508842,9,6,14,47,51,4,223,61,9,105,197,183,228,18,1,81,20,27,
7,etienne,85.46666667,42.85955738,9,6,14,16,121,5,249,52,17,97,316,69,47,9,3,127,35,119,
8,dxvxn,101.0666667,68.83869671,9,4,14,89,24,209,6,341,124,230,69,57,64,57,37,106,40,63,
9,dugz,105.1666667,76.28203881,6,2,11,7,46,143,154,281,92,105,84,,169,,71,,23,87,
10,swouse,105.9333333,71.17142588,8,4,14,126,81,74,32,107,79,146,265,2,30,54,165,205,185,38,
11,thelankygerman,109.3076923,51.54333439,8,5,13,,,15,158,412,95,8,26,112,14,297,138,3,87,56,
12,four,109.6,66.8380735,5,3,9,27,54,104,361,112,,13,34,98,,,,268,,25,
13,bruins,118.0833333,78.65071905,6,2,11,24,77,38,474,,165,151,107,,,74,13,51,165,78,
14,sports6138,118.1666667,93.32876976,5,2,11,93,28,157,88,,135,312,122,187,89,,,17,121,69,
15,raiola,119.2666667,93.82418846,8,3,14,150,258,184,66,21,91,46,125,219,20,95,221,70,141,82,
16,sweat,120.0769231,80.53282938,8,3,12,274,23,175,9,63,91,241,92,,275,68,54,168,,28,
17,ice,121.1,65.02625266,5,3,9,21,8,62,94,120,176,45,370,302,,,,,13,,
18,ryoshi,122.7777778,75.0043288,4,3,8,37,20,,17,,,,,,186,69,44,411,155,166,
19,saquon,122.9333333,94.24646732,8,2,14,370,56,37,56,102,53,357,126,53,115,67,163,162,44,83,
20,cs_derrick13,123.3333333,93.10689981,4,2,9,,,238,,,,,37,54,134,192,121,20,240,74,
21,caustic,125.3333333,92.19183731,7,3,14,182,19,122,176,176,197,85,20,348,55,56,38,54,159,193,
22,tralogik,127.2857143,35.21774052,11,10,14,,44,1042,40,11,8,19,108,15,47,328,5,44,67,4,
23,kevin,127.4444444,93.50343227,4,3,8,111,,201,42,156,23,,41,362,92,,,,119,,
24,kenny_wya,128.9333333,92.60058232,8,3,14,33,81,68,60,97,213,158,197,208,318,33,316,15,87,50,
25,norrispaul13,129.4,60.55613885,9,6,14,34,179,222,490,88,511,29,109,7,92,11,50,9,20,90,
26,rzk__,130.9333333,62.19436656,8,7,14,105,21,20,105,322,419,30,188,318,24,29,51,307,3,22,
27,deshaun4prison,134,95.91361526,6,4,12,167,49,114,65,,,191,72,145,130,26,24,331,381,47,
28,masdog2222,134,58.55154444,10,4,12,,55,17,1018,20,57,,,17,35,82,67,73,57,110,
29,znye,134.1333333,113.3579895,6,2,14,88,84,39,243,75,78,119,40,174,223,297,169,104,86,193,
30,clutch,134.9333333,95.72141648,7,2,14,62,61,384,171,68,35,468,182,75,115,75,101,98,115,14,
31,verse (reversethev),135.4666667,117.921145,5,1,14,124,102,24,74,83,162,152,190,211,301,140,72,139,166,92,
32,york,139.3571429,100.7777484,7,3,14,,34,54,89,83,74,351,138,251,167,21,142,344,172,31,
33,arttheclown_,140.25,79.45068243,8,4,15,74,4,207,279,153,36,72,699,185,13,56,98,36,133,138,61
34,cry,142.7333333,87.09787693,7,3,14,50,82,40,265,26,605,248,161,4,140,132,82,172,75,59,
35,intriquid,142.75,75.92948666,5,2,11,29,177,418,,11,424,,61,138,135,201,63,5,51,,
36,coby,142.8571429,69.86514736,8,6,13,175,,94,20,41,477,6,151,23,8,52,44,269,369,271,
37,cteszn,144.2,108.5294462,7,4,14,187,170,136,167,40,462,38,24,96,88,46,205,151,88,265,
38,lamb,145.7333333,103.7211815,7,1,14,15,100,533,98,59,214,292,152,143,98,61,74,203,118,26,
39,davidv03,146.3333333,107.7598833,3,1,8,363,125,,181,,113,119,,17,275,,55,,,69,
40,mrdawson,147.4,48.67007064,8,4,10,,,,,,66,14,68,132,23,37,1013,57,61,3,
41,otf,147.6666667,110.1688682,7,2,11,218,282,,81,26,97,46,76,258,,93,421,,106,68,
42,mario,148.2857143,111.9716974,7,1,13,82,287,129,83,74,34,225,486,,65,70,55,160,258,68,
43,iverson,149.1333333,75.75267919,9,6,14,291,7,27,92,28,228,15,131,34,233,129,76,817,47,82,
44,max,150.8666667,101.3565863,9,4,14,230,38,645,45,84,146,207,82,27,166,98,53,47,64,331,
45,psyklone,151.0909091,96.62976756,6,3,11,,84,,,81,,16,435,136,219,24,46,64,372,185,
46,flock.ravens,152.7,119.2992037,4,1,10,,,142,433,66,,,,184,151,169,88,25,199,70,
47,arthurmorgan,152.7142857,57.96020083,6,6,13,11,5,7,16,17,268,166,40,15,236,141,422,583,211,,
