game_id,game_date,game_type,team_a,team_b,captain_a,captain_b,players_a,players_b,score_a,score_b,winner,adjustment_a,adjustment_b,round_name,seed_a,seed_b,lineup_comment_id,result_comment_id
2511,2023-12-20,postseason,@chi,@singularity393,,singularity393,chi,"singularity393, kopyrd, depressedosufan, ryansc, glaciers",,,,,,Final 4 (Dec 21 - 24),9,60,6576653,
2512,2023-12-20,regular,@chi,@singularity393,,,,singularity393,,,,,,,,,6580327,
2510,2023-12-22,postseason,@chi,@singularity393,,,chi,"singularity393, kopyrd, depressedosufan",,,,,,Final 4 day 1 of 4 results,9,60,6702662,
2509,2023-12-23,postseason,@chi,@singularity393,,,chi,"singularity393, kopyrd, depressedosufan",,,,,,Final 4 day 2 of 4 results,9,60,6763923,
2508,2023-12-24,postseason,@chi,@singularity393,,,chi,"singularity393, kopyrd, depressedosufan",,,,,,Final 4 day 3 of 4 results,9,60,6830127,
2507,2023-12-25,postseason,@chi,@depressedosufan,,depressedosufan,chi,"depressedosufan, singularity393, kopyrd",,,,,,,9,59,6908592,
2506,2023-12-27,postseason,@chi,@depressedosufan,,,chi,depressedosufan,,,,,,,9,59,7114632,
2505,2023-12-28,postseason,@chi,@depressedosufan,,,chi,depressedosufan,,,,,,,9,59,7189248,
2504,2023-12-29,postseason,@chi,@depressedosufan,,,chi,depressedosufan,,,,,,,9,59,7265347,
2503,2023-12-30,postseason,@chi,@depressedosufan,,,chi,depressedosufan,,,,,,,9,59,7375023,
2489,2024-01-02,regular,Pork’s Payroll,The Fellas,,,"angel.hernandez, kopyrd, ice, jrue_holiday, depressedosufan, froby","tadass, abos, branchy, fatherlockett, liluzivert_",,,,,,,,,7721893,
2490,2024-01-02,regular,Crown Karma,Yabadabadoo Old Navy,,,"martew, adebayo, trey, magic, realowen, hovey","papadoody135, ukator, julius.chestnut, cajuns, burgerkingjaylen, herb",,,,,,,,,7721920,
2491,2024-01-02,regular,Green Team,Fat,,,"ry.an, leow, saints, hcdinger, donovan.edwards, vincent_","chi, quinn_, gibbs, declan, bamry, hedge",,,,,,,,,7721938,
2492,2024-01-02,regular,Karma Farmers,Karma Krackers,,,"dakotapresscot, michael, cooptheman, hart, embiid, giannis","bas, metcalf, thereturnofzlo, mr.farts, mason, fernando",,,,,,,,,7721967,
2493,2024-01-02,regular,Karma Keepers,Annoying Butt Crayee,,,"chris, gutz8, markjackson, reels, okc, christian","braedendub04, buckyirving_, willy, sirgeno, b2smooth",,,,,,,,,7721980,
2494,2024-01-02,regular,Karma Collecters,Fortnite Flamingos,,,"jacman17, houston.sports.fan, strider, lincoln, ryansc, glaciers","tutu, herro, anonymoususer, yato, turbo, tlaw",,,,,,,,,7721991,
2495,2024-01-02,regular,Karma Kings,Tacos,,,"cam.york, singularity393, wj, manoffaith, addison, cinemax","osach, braden_, ian, caleb_, saltymaniac, justinf1elds",,,,,,,,,7722007,
2496,2024-01-02,regular,Pork’s Payroll,The Fellas,,,"bojack, kopyrd, ice, jrue_holiday, depressedosufan, froby","tadass, abos, gonda, jxrqzy, liluzivert_",,,,,,,,,7670741,
2497,2024-01-02,regular,Crown Karma,Yabadabadoo Old Navy,,,"atlantasports1, adebayo, trey, marsh, moistdrifter, hovey","papadoody135, ukator, julius.chestnut, cajuns, burgerkingjaylen, herb",,,,,,,,,7670770,
2498,2024-01-02,regular,Green Team,Fat,,,"ry.an, leow, saints, hcdinger, donovan.edwards, vincent_","chi, quinn_, gibbs, declan, bamry, hedge",,,,,,,,,7670798,
2499,2024-01-02,regular,Karma Farmers,Karma Krackers,,,"dakotapresscot, michael, cooptheman, thundering, embiid, kingdom","bas, metcalf, thereturnofzlo, avdija, mason, fernando",,,,,,,,,7670895,
