game_id,game_date,game_type,team_a,team_b,captain_a,captain_b,players_a,players_b,score_a,score_b,winner,adjustment_a,adjustment_b,round_name,seed_a,seed_b,lineup_comment_id,result_comment_id
541,2025-03-01,regular,Gravediggers,Freaks,cry,supa,"cry, derrickwhitetop5, davidv03, kevin, arthurmorgan, anonymoususer","supa, etan22, york, bennett, ai, vj",,,,,,,,,50686424,
542,2025-03-01,regular,Piggies,Lean Team,evan_stewart_ii,dxvxn,"evan_stewart_ii, glaciers, lxst, brandonmiller, yandy, poolepartyjp3","dxvxn, bigk, pnwsavant, bmannn, kuminga_, thelankygerman",,,,,,,,,50686479,
543,2025-03-01,regular,Jammers,Gamblers,cteszn,nyc,"cteszn, fun, mccasual, gavinlub, freaky_giannis","nyc, doggy, _turner, michael.carter.ll, brown",,,,,,,,,50687977,
544,2025-03-01,regular,Flames,Donuts,frostyy,bohm,"frostyy, tjgany, j417, xyo, montolio, aprilfoolsbday","bohm, hutchinson, tay, poopybuttlover, yellow, abos",,,,,,,,,50689002,
545,2025-03-01,regular,Demons,Flags,buck,tw0,"buck, cyl, otf, o3wn, joshminottenjoyer","tw0, ejwise, chltown, jonah, gradyt06",,,,,,,,,50691687,
546,2025-03-01,regular,KOCK,Flags,ow3n1,tw0,"ow3n1, croger, trevq3, fernando, rockymountain, devincooker","tw0, ejwise, chltown, jonah, gradyt06, relaxedp",,,,,,,,,50691952,
547,2025-03-01,regular,Fellas,Hornets,mlbelite,knightnate12,"mlbelite, realnuggets, tyus, aiden, dugz","okorolover355, tye, knightnate12, murray, sasser",,,,,,,,,50704443,
535,2025-03-02,regular,Demons,Creamers,bruins,cle,"bruins, joshminottenjoyer, o3wn, nick_, cyl, otf","cle, saquon, znye, verse, sports6138, oldfriend99",,,,,,,,,50814392,
536,2025-03-02,regular,Flames,Otters,frostyy,notkiddo,"frostyy, intriquid, plemay, j417, aprilfoolsbday, tjgany","notkiddo, crqmer, jcbihh, lukamodric, novo, therealcartergilmore",,,,,,,,,50818223,
537,2025-03-02,regular,Creamers,KOCK,cle,ow3n1,"cle, saquon, znye, verse, sports6138, oldfriend99","ow3n1, croger, trevq3, fernando, rockymountain, devincooker",,,,,,,,,50819331,
538,2025-03-02,regular,Minors,Freaks,baty,supa,"baty, burress, darwin, bojack, nickplaysbball, shenli","supa, etan22, york, bennett, ai, bshumer1",,,,,,,,,50821780,
539,2025-03-02,regular,MLB,Karma Stars,aiden0220,devinbooker,"aiden0220, kane, richer, dillon, sossboy_, marte","devinbooker, dawgsnation, neev, wisco, raiola, rojoknicks",,,,,,,,,50823177,
540,2025-03-02,regular,Stimmers,Aces,arttheclown_,kenny_wya,"arttheclown_, mpls, spursszn_, nael_abuasi, tylrr, draculas","kenny_wya, grizzy, mars_vibezz, curtisjoneslover, sony_",,,,,,,,,50829672,
524,2025-03-03,regular,Jammers,Freaks,mccasual,supa,"mccasual, cteszn, swouse, sweat, bello, caustic","supa, etan22, york, bennett, ai, norrispaul13",,,,,,,,,50954488,
525,2025-03-03,regular,Donuts,Lean Team,winslowforprez,bigk,"winslowforprez, scottie, cs_derrick13, yellow, bacotlover, abos","bigk, cbd, bmannn, pnwsavant, heatloyalist, addison",,,,,,,,,50954637,
526,2025-03-03,regular,Demons,Fellas,otf,dugz,"otf, four, buck, nickza, bruins, o3wn","dariusgarland, mlbelite, dugz, cadewave, ballingpm, tyus",,,,,,,,,50956108,
527,2025-03-03,regular,Fellas,Freaks,mlbelite,supa,"dariusgarland, mlbelite, dugz, cadewave, ballingpm, tyus","supa, etan22, york, bennett, ai, norrispaul13",,,,,,,,,50956136,
528,2025-03-03,regular,Fellas,MLB,dariusgarland,kane,"dariusgarland, mlbelite, dugz, cadewave, ballingpm, tyus","kane, sossboy_, marte, dane, target, dillon",,,,,,,,,50957394,
529,2025-03-03,regular,Freaks,Piggies,supa,evan_stewart_ii,"supa, etan22, york, bennett, ai, norrispaul13","lxst, evan_stewart_ii, brandonmiller, jtfr, glaciers, poolepartyjp3",,,,,,,,,50959737,
530,2025-03-03,regular,Hornets,Stars,sasser,raiola,"sasser, knightnate12, tye, cookie, okorolover355","raiola, willi3, neev, rojoknicks, dawgsnation",,,,,,,,,50961554,
531,2025-03-03,regular,Aces,Stimmers,sotonyc,spursszn_,"sotonyc, kenny_wya, sony_, curtisjoneslover, lindors","spursszn_, mpls, arttheclown_, nael_abuasi, tylrr, draculas",,,,,,,,,50961884,
532,2025-03-03,regular,Flames,Hornets,frostyy,sasser,"frostyy, intriquid, tjgany, xyo","sasser, okorolover355, tye, knightnate12",,,,,,,,,50963128,
533,2025-03-03,regular,Flames,Gamblers,,,tjgany,doggy,,,,,,,,,50963812,
534,2025-03-03,regular,Otters,Horses,notkiddo,chris,"notkiddo, jamiee, jcbihh, lukamodric, crqmer, panarin","chris, kinnick, mattyice, herro, xo, ice",,,,,,,,,50965537,
518,2025-03-04,regular,Flags,Freaks,jonah,supa,"jonah, tw0, ejwise, relaxedp, chltown, liljon","supa, etan22, bennett, norrispaul13, ai, vj",,,,,,,,,51069070,
519,2025-03-04,regular,Freaks,Kings,supa,clutch,"supa, etan22, bennett, norrispaul13, ai, vj","clutch, mario, morel, clase, jaylenszn, cinemax",,,,,,,,,51069162,
520,2025-03-04,regular,Penguins,Freaks,khys9575,supa,"khys9575, bg_15, turbo, codybellinger, piggy, zero","supa, etan22, bennett, norrispaul13, ai, vj",,,,,,,,,51069183,
521,2025-03-04,regular,Flames A,Flames B,frostyy,intriquid,"frostyy, plemay, xyo, wulf, crozo","intriquid, tjgany, j417, aprilfoolsbday, montolio",,,,,,,,,51070893,
522,2025-03-04,regular,Donuts,Hornets,,,ivy,gaines,,,,,,,,,51090769,
523,2025-03-04,regular,Stars,Flags,wisco,jonah,"wisco, devinbooker, lamb, morant, playexplainer, rojoknicks","jonah, tw0, ejwise, relaxedp, chltown, liljon",,,,,,,,,51100714,
512,2025-03-05,regular,fellas,Hornets,,,cadewave,gaines,,,,,,,,,51195614,
513,2025-03-05,regular,Amigos,Flames,,,"duke, pat","tjgany, frostyy",,,,,,,,,51195645,
514,2025-03-05,regular,Gamblers 1,Gamblers 2,_turner,dex,"_turner, doggy, michael.carter.ll, nyc","dex, shabddd, xxyn, brown",,,,,,,,,51195711,
515,2025-03-05,regular,flag_united_states @gingy,Horses,canada,kinnick,"canada, chittum, etienne, joelembiid, bigsnook, gingy","kinnick, chris, ice, papacoop, salty, xo",,,,,,,,,51196728,
516,2025-03-05,regular,Jammers,Stimmers,swouse,spursszn_,"swouse, sweat, bello, palmer, cteszn","spursszn_, mpls, arttheclown_, nael_abuasi, tylrr, draculas",,,,,,,,,51202336,
517,2025-03-05,regular,Flames,Otters,,,xyo,notkiddo,,,,,,,,,51215396,
507,2025-03-06,regular,Flames,Stars,frostyy,devinbooker,"frostyy, intriquid, plemay, tjgany, xyo, wulf","devinbooker, wisco, neev, morant, raiola, lamb",,,,,,,,,51316540,
508,2025-03-06,regular,Tacos,Kings,iverson,mario,"iverson, siri, bam, burgerking, ryoshi, zionwilliamson","mario, clutch, morel, btjszn, witt, cinemax",,,,,,,,,51315420,
509,2025-03-06,regular,Piggies,Aces,glaciers,kenny_wya,"glaciers, brandonmiller, evan_stewart_ii, lxst, jtfr, shitsterken","kenny_wya, curtisjoneslover, grizzy, berg_02, mars_vibezz",,,,,,,,,51315443,
510,2025-03-06,regular,Donuts,Heroes,bohm,deshaun4prison,"bohm, abos, tay, poopybuttlover, winslowforprez, hutchinson","deshaun4prison, member98674, garland, devonta, zaccc, 13allard",,,,,,,,,51315451,
511,2025-03-06,regular,Jammers,Stimmers,cteszn,spursszn_,"cteszn, swouse, mccasual, sweat, fun, caustic","spursszn_, mpls, arttheclown_, nael_abuasi, tylrr, robertjr",,,,,,,,,51315463,
500,2025-03-07,regular,KOCK,Gamblers,croger,doggy,"croger, ederick2442, devincooker, bos, trevq3, fernando","doggy, michael.carter.ll, _turner, shabddd, nyc, dex",,,,,,,,,51442391,
501,2025-03-07,regular,Freaks,Minors,supa,max,"supa, etan22, bennett, ai, vj, norrispaul13","max, baty, braden_, trylq, coby, bojack",,,,,,,,,51440832,
502,2025-03-07,regular,Creamers,Lean Team,saquon,dxvxn,"saquon, znye, verse, sports6138, oldfriend99, cle","dxvxn, herroenjoyer, addison, bigk, cbd, townes",,,,,,,,,51440851,
503,2025-03-07,regular,Empire,Outlaws,zim,lehkyforselke,"zim, sebas, fullofopps, kodyblu31, bobsburgers, jameswyo","lehkyforselke, itzneallol, longganisa, goodbyesosoon, gaston, prove",,,,,,,,,51440888,
504,2025-03-07,regular,Voyage,Penguins,shot,khys9575,"shot, twistex, huts, glo, justakidfromakron23, frylock","khys9575, zupacam, zik, rzk__, zero, bg_15",,,,,,,,,51440915,
505,2025-03-07,regular,@piggies,@diabetics,,,piggies,"diabetics, horniehorses, empire.rkl, flags, rkl.kocks, gravediggers, otters, creamers, thefellas, voyage, rklkings, karma.stars, theaces, stimmers",,,,,,,,,51418238,
506,2025-03-07,regular,@flamesrkl,@teamtacos,,,flamesrkl,"teamtacos, jammersrkl, rklheroes, leanteam, rklhornets, theoutlaws, gamblers, karmafreaks, rkldemons, penguins, madsminors, theamigos, mlbrkl, donutsrkl",,,,,,,,,51418214,
492,2025-03-08,regular,MLB,Gravediggers,aiden0220,cry,"aiden0220, dillon, zooch5, sossboy_, ukator, dane","cry, arthurmorgan, anonymoususer, davidv03, kevin, markjackson",,,,,,,,,51565040,
493,2025-03-08,regular,Diabetics,Hornets,canada,zayo,"canada, chittum, etienne, joelembiid, jonah, gingy","zayo, okorolover355, jensive, bmannn, knightnate12, murray",,,,,,,,,51562861,
